Groupby on attribute values with respect to target attribute : 


Group by on Attribute : Pclass
   Pclass  count  Survived
59     8.0292      1         1
60     8.0500     38         0
61     8.0500      5         1
62     8.1125      1         1
63     8.1375      1         0
64     8.1583      1         0
65     8.3000      1         0
66     8.3625      1         0
67     8.4042      1         0
68     8.4333      1         0
69     8.4583      1         0
70     8.5167      1         1
71     8.6542      1         0
72     8.6625     12         0
73     8.6625      1         1
74     8.6833      1         1
75     8.7125      1         0
76     8.8500      1         0
77     9.0000      2         0
78     9.2167      1         0
79     9.2250      2         0
80     9.3500      1         0
81     9.3500      1         1
82     9.4750      1         0
83     9.4833      1         0
84     9.5000      7         0
85     9.5000      2         1
86     9.5875      1         0
87     9.5875      1         1
88     9.8250      2         0
89     9.8375      1         0
90     9.8417      1         1
91     9.8458      1         0
92    10.1708      1         0
93    10.4625      2         0
94    10.5000     15         0
95    10.5000      9         1
96    10.5167      1         0
97    11.1333      3         1
98    11.2417      2         1
99    11.5000      4         0
100   12.0000      1         1
101   12.2750      1         0
102   12.2875      1         1
103   12.3500      1         0
104   12.3500      2         1
105   12.4750      4         1
106   12.5250      1         0
107   12.6500      1         1
108   12.8750      1         0
109   13.0000     26         0
110   13.0000     16         1
111   13.4167      1         1
112   13.5000      3         0
113   13.5000      1         1
114   13.7917      1         1
115   13.8583      1         1
116   13.8625      1         1
117   14.0000      1         0
118   14.1083      1         0
119   14.4000      2         0
120   14.4542      6         0
121   14.4542      1         1
122   14.4583      3         0
123   14.5000      5         0
124   14.5000      2         1
125   15.0000      1         0
126   15.0458      1         0
127   15.0500      1         0
128   15.1000      1         0
129   15.2458      2         0
130   15.2458      3         1
131   15.5000      5         0
132   15.5000      3         1
133   15.5500      1         0
134   15.7417      2         1
135   15.7500      1         1
136   15.8500      2         0
137   15.8500      2         1
138   15.9000      2         1
139   16.0000      1         1
140   16.1000      7         0
141   16.1000      2         1
142   16.7000      2         1
143   17.4000      1         1
144   17.8000      2         0
145   18.0000      3         0
146   18.7500      3         1
147   18.7875      1         0
148   18.7875      1         1
149   19.2583      4         1
150   19.5000      2         1
151   19.9667      2         0
152   20.2125      2         0
153   20.2500      1         0
154   20.2500      1         1
155   20.5250      1         0
156   20.5250      2         1
157   20.5750      1         0
158   20.5750      1         1
159   21.0000      4         0
160   21.0000      2         1
161   21.0750      4         0
162   21.6792      1         0
163   22.0250      1         1
164   22.3583      2         1
165   22.5250      1         0
166   23.0000      4         1
167   23.2500      2         1
168   23.4500      2         0
169   24.0000      1         0
170   24.0000      1         1
171   24.1500      7         0
172   24.1500      1         1
173   25.4667      4         0
174   25.5875      1         0
175   25.9250      1         0
176   25.9292      2         1
177   26.0000     16         0
178   26.0000     15         1
179   26.2500      2         0
180   26.2500      4         1
181   26.2833      1         1
182   26.2875      3         1
183   26.3875      1         1
184   26.5500      7         0
185   26.5500      8         1
186   27.0000      1         0
187   27.0000      1         1
188   27.7208      4         0
189   27.7208      1         1
190   27.7500      2         0
191   27.7500      2         1
192   27.9000      6         0
193   28.5000      1         0
194   28.7125      1         0
195   29.0000      2         1
196   29.1250      5         0
197   29.7000      2         0
198   29.7000      1         1
199   30.0000      1         0
200   30.0000      5         1
201   30.0708      1         0
202   30.0708      1         1
203   30.5000      1         0
204   30.5000      4         1
205   30.6958      2         0
206   31.0000      1         0
207   31.0000      2         1
208   31.2750      7         0
209   31.3875      1         0
210   31.3875      3         1
211   32.3208      1         0
212   32.5000      1         1
213   33.0000      1         0
214   33.0000      2         1
215   33.5000      1         0
216   34.0208      1         0
217   34.3750      4         0
218   34.6542      1         0
219   35.0000      1         0
220   35.5000      1         0
221   35.5000      3         1
222   36.7500      1         0
223   36.7500      1         1
224   37.0042      1         0
225   37.0042      1         1
226   38.5000      1         0
227   39.0000      1         0
228   39.0000      3         1
229   39.4000      1         1
230   39.6000      1         0
231   39.6000      1         1
232   39.6875      6         0
233   40.1250      1         0
234   41.5792      1         0
235   41.5792      2         1
236   42.4000      1         0
237   46.9000      6         0
238   47.1000      1         0
239   49.5000      1         1
240   49.5042      1         0
241   49.5042      1         1
242   50.0000      1         0
243   50.4958      1         0
244   51.4792      1         1
245   51.8625      1         0
246   51.8625      1         1
247   52.0000      4         0
248   52.0000      3         1
249   52.5542      3         1
250   53.1000      2         0
251   53.1000      3         1
252   55.0000      2         1
253   55.4417      1         1
254   55.9000      1         0
255   55.9000      1         1
256   56.4958      2         0
257   56.4958      5         1
258   56.9292      2         1
259   57.0000      2         1
260   57.9792      2         1
261   59.4000      1         1
262   61.1750      1         0
263   61.3792      1         0
264   61.9792      1         0
265   63.3583      1         1
266   65.0000      2         1
267   66.6000      1         0
268   66.6000      1         1
269   69.3000      2         1
270   69.5500      7         0
271   71.0000      1         0
272   71.0000      1         1
273   71.2833      1         1
274   73.5000      5         0
275   75.2500      1         1
276   76.2917      1         1
277   76.7292      3         1
278   77.2875      2         0
279   77.9583      3         1
280   78.2667      2         1
281   78.8500      1         0
282   78.8500      1         1
283   79.2000      2         0
284   79.2000      2         1
285   79.6500      1         0
286   79.6500      2         1
287   80.0000      2         1
288   81.8583      1         1
289   82.1708      1         0
290   82.1708      1         1
291   83.1583      3         1
292   83.4750      1         0
293   83.4750      1         1
294   86.5000      3         1
295   89.1042      2         1
296   90.0000      1         0
297   90.0000      3         1
298   91.0792      2         1
299   93.5000      2         1
300  106.4250      1         0
301  106.4250      1         1
302  108.9000      1         0
303  108.9000      1         1
304  110.8833      1         0
305  110.8833      3         1
306  113.2750      1         0
307  113.2750      2         1
308  120.0000      4         1
309  133.6500      2         1
310  134.5000      2         1
311  135.6333      1         0
312  135.6333      2         1
313  146.5208      2         1
314  151.5500      2         0
315  151.5500      2         1
316  153.4625      1         0
317  153.4625      2         1
318  164.8667      2         1
319  211.3375      3         1
320  211.5000      1         0
321  221.7792      1         0
322  227.5250      1         0
323  227.5250      3         1
324  247.5208      1         0
325  247.5208      1         1
326  262.3750      2         1
327  263.0000      2         0
328  263.0000      2         1
329  512.3292      3         1

 

 
Group by on Attribute : Age_group
   Age_group  count  Survived
0       0-10     26         0
1       0-10     38         1
2      10-20     71         0
3      10-20     44         1
4      20-30    271         0
5      20-30    136         1
6      30-40     86         0
7      30-40     69         1
8      40-50     53         0
9      40-50     33         1
10     50-60     25         0
11     50-60     17         1
12     60-70     13         0
13     60-70      4         1
14     70-80      4         0
15     70-80      1         1

 

 
Group by on Attribute : Cabin_group
   Cabin_group  count  Survived
0      A_Cabin      8         0
1      A_Cabin      7         1
2      B_Cabin     12         0
3      B_Cabin     35         1
4      C_Cabin     24         0
5      C_Cabin     35         1
6      D_Cabin      8         0
7      D_Cabin     25         1
8      E_Cabin      8         0
9      E_Cabin     24         1
10     F_Cabin      5         0
11     F_Cabin      8         1
12     G_Cabin      2         0
13     G_Cabin      2         1
14     Missing    481         0
15     Missing    206         1
16     T_Cabin      1         0

 

 
Group by on Attribute : Fare_group
   Fare_group  count  Survived
0        0-50    498         0
1        0-50    233         1
2     100-150      5         0
3     100-150     19         1
4     150-200      3         0
5     150-200      6         1
6     200-250      4         0
7     200-250      7         1
8     250-300      2         0
9     250-300      4         1
10     50-100     37         0
11     50-100     70         1
12    500-550      3         1

 

 

============================================================================================

 
